,Video ID,Author,Video Description,Video #Views,Euphemism,Annotator 1,Letter 1,Annotator 2,Letter 2
54,7151035108353461530,lordtempest69,part 3 need sause?😏 #naruto #tsunade #hokage #anime #comic #milk #TMGVIdol #bold #hen74i #18 #viral #trending #trend #goodvibes #foryou #fyp #foryoupage #narutoshippuden ,56600,hen74i,,,,
55,7138069930741615914,seek_stolemyjean_.shorts,Don’t watch mr beast full video #hen74i,4321,hen74i,,,,
56,7151064432368520474,lordtempest69,PART 2 (Credits to the owner na si idol: @janelsenpai )#foryoupage #fyp #foryou #part2 #goodvibes #trend #trending #viral #18 #hen74i #bold #jollibee #comic #anime ,3474,hen74i,,,,
57,7093988058168560901,eat_a_brick27,##greenscreenvideo #fup #fypシ #fax #MoveToTheBeatOfBai #fypシ゚viral #🚩 #tidd1es #iloveoldmen #daddysgirl #n00dles #skinsuk #w #redflags #deep #schoollife #parents #ED #mommyissues #fyp #scarlet #tomholland #cassie #cassieansworth #skins #grosspo #b0nesp0 #assult #assultawarness #sa,14800,b0nesp0,,,,
58,7092863274353528070,eat_a_brick27,##greenscreenvideo #fup #fypシ #fax #MoveToTheBeatOfBai #fypシ゚viral #🚩 #tidd1es #iloveoldmen #daddysgirl #n00dles #skinsuk #w #redflags #deep #schoollife #parents #ED #mommyissues #fyp #scarlet #tomholland #cassie #cassieansworth #skins #grosspo #b0nesp0 #assult #assultawarness #sa,2890,b0nesp0,,,,
59,7092763203528166661,eat_a_brick27,#greenscreenvideo ##greenscreenvideo #fup #fypシ #fax #MoveToTheBeatOfBai #fypシ゚viral #🚩 #tidd1es #iloveoldmen #daddysgirl #n00dles #skinsuk #w #redflags #deep #schoollife #parents #ED #mommyissues #fyp #scarlet #tomholland #cassie #cassieansworth #skins #grosspo #b0nesp0 #assult #assultawarness #sa,1294,b0nesp0,,,,
60,7092761992926121221,eat_a_brick27,#greenscreenvideo #fup #fypシ #fax #MoveToTheBeatOfBai #fypシ゚viral #🚩 #tidd1es #iloveoldmen #daddysgirl #n00dles #skinsuk #w #redflags #deep #schoollife #parents #ED #mommyissues #fyp #scarlet #tomholland #cassie #cassieansworth #skins #grosspo #b0nesp0,1446,b0nesp0,,,,
61,7092764665977130246,eat_a_brick27,##greenscreenvideo #fup #fypシ #fax #MoveToTheBeatOfBai #fypシ゚viral #🚩 #tidd1es #iloveoldmen #daddysgirl #n00dles #skinsuk #w #redflags #deep #schoollife #parents #ED #mommyissues #fyp #scarlet #tomholland #cassie #cassieansworth #skins #grosspo #b0nesp0 #assult #assultawarness #sa,635,b0nesp0,,,,
62,7093977683121507590,eat_a_brick27,#duet with @pinkhairgf ##greenscreenvideo #fup #fypシ #fax #MoveToTheBeatOfBai #fypシ゚viral #🚩 #tidd1es #iloveoldmen #daddysgirl #n00dles #skinsuk #w #redflags #deep #schoollife #parents #ED #mommyissues #fyp #scarlet #tomholland #cassie #cassieansworth #skins #grosspo #b0nesp0 #assult #assultawarness #sa,1503,b0nesp0,,,,
63,7093221940906839301,eat_a_brick27,##greenscreenvideo #fup #fypシ #fax #MoveToTheBeatOfBai #fypシ゚viral #🚩 #tidd1es #iloveoldmen #daddysgirl #n00dles #skinsuk #w #redflags #deep #schoollife #parents #ED #mommyissues #fyp #scarlet #tomholland #cassie #cassieansworth #skins #grosspo #b0nesp0 #assult #assultawarness #sa,1212,b0nesp0,,,,
64,7093221819213303045,eat_a_brick27,##greenscreenvideo #fup #fypシ #fax #MoveToTheBeatOfBai #fypシ゚viral #🚩 #tidd1es #iloveoldmen #daddysgirl #n00dles #skinsuk #w #redflags #deep #schoollife #parents #ED #mommyissues #fyp #scarlet #tomholland #cassie #cassieansworth #skins #grosspo #b0nesp0 #assult #assultawarness #sa,571,b0nesp0,,,,
